title,price,author,describe
GarageBandではじめる ループ音源で遊ぶ・楽しむ超入門 iPhone/iPad対応 （単行本）,"2200円
（本体2000円＋税10%）",松尾公也 著,楽器を持っていなくても、楽譜が読めなくても大丈夫。タップできれば作曲家になれる！ それがGarageBandです。本書は、iPhoneやiPadで利用できる無料の音楽制作ソフト「GarageBand（ガレージバンド）」の使い方とループ音源を使ってオリジナルの楽曲を簡単に作曲するノウハウを解説した入門書です。あなたも数千種類のLiveLoopを使って、タップするだけで自由に気楽に音楽を楽しめます。できあがった作品を投稿する方法も紹介します。
スマートスピーカーを作ろう！ AIY Voice Kitと自作キットで家電操作 （単行本）,"2200円
（本体2000円＋税10%）",鄭立 著,"大手IT企業が発表しているスマートスピーカーは、声をかけるだけで天気を教えてくれたり、家電を操作してくれたりと便利で楽しい商品です。でも、自作マニアなら、スマートスピーカーを自分で作ってみたいと思いませんか？ 本書は、Googleが提供するAIY Voice Kitと簡単に入手できる市販電子部品を使って、スマートスピーカーの自作を体験する本です。作ったスマートスピーカーは会話はもちろん、テレビやエアコンの操作もできます！

【サポートはこちら】→https://www.shuwasystem.co.jp/support/7980html/5521.html"
